epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,304.282,1.59609,2.45524,1.44273,0.62196,0.39097,0.35051,0.16914,1.61118,1.39723,1.48542,0.000332518,0.000332518,0.000332518
2,556.272,1.60336,1.59841,1.45292,0.73004,0.32209,0.43681,0.23482,1.59389,1.4176,1.49344,0.00065926,0.00065926,0.00065926
3,759.445,1.61372,1.52218,1.46323,0.68318,0.50441,0.4984,0.27594,1.5114,1.21442,1.4278,0.000979401,0.000979401,0.000979401
4,1006.68,1.56913,1.44547,1.42787,0.70517,0.47991,0.53842,0.30508,1.48491,1.09161,1.43188,0.0009703,0.0009703,0.0009703
5,1316.28,1.53487,1.33604,1.40912,0.72225,0.4622,0.54166,0.30621,1.48151,0.96686,1.39302,0.0009604,0.0009604,0.0009604
6,1559.1,1.49678,1.27335,1.38541,0.92781,0.37101,0.51699,0.31161,1.43909,0.98822,1.35834,0.0009505,0.0009505,0.0009505
7,1804.13,1.48732,1.22853,1.37893,0.87051,0.51244,0.59905,0.34286,1.38846,0.87012,1.32288,0.0009406,0.0009406,0.0009406
8,2084.15,1.44809,1.16243,1.34972,0.62226,0.6978,0.70263,0.41681,1.43499,0.89187,1.34722,0.0009307,0.0009307,0.0009307
9,2322.84,1.4533,1.15337,1.35388,0.6057,0.60972,0.63273,0.38208,1.37069,0.82648,1.3131,0.0009208,0.0009208,0.0009208
10,2570.18,1.43577,1.13836,1.35346,0.85135,0.54069,0.63197,0.38912,1.35111,0.80186,1.30399,0.0009109,0.0009109,0.0009109
11,2818.76,1.4194,1.0991,1.32675,0.87759,0.5621,0.62589,0.3869,1.39875,0.8134,1.33504,0.000901,0.000901,0.000901
12,3031.77,1.38817,1.05938,1.31112,0.74501,0.69541,0.71193,0.45545,1.33332,0.77759,1.30316,0.0008911,0.0008911,0.0008911
13,3258.42,1.37737,1.02875,1.30646,0.70947,0.73653,0.65523,0.42344,1.30679,0.7349,1.26987,0.0008812,0.0008812,0.0008812
14,3589.59,1.39003,1.04897,1.31807,0.64537,0.82246,0.75797,0.45675,1.37107,0.75478,1.30902,0.0008713,0.0008713,0.0008713
15,3962.98,1.35122,1.00619,1.29584,0.83388,0.64859,0.84932,0.562,1.28585,0.72823,1.27509,0.0008614,0.0008614,0.0008614
16,4171.22,1.33735,1.00367,1.29617,0.75612,0.78181,0.82896,0.55835,1.25856,0.70832,1.24644,0.0008515,0.0008515,0.0008515
17,4409.15,1.32856,0.9857,1.28194,0.68447,0.80177,0.69169,0.44623,1.27376,0.72263,1.25451,0.0008416,0.0008416,0.0008416
18,4643.41,1.33983,0.97565,1.2854,0.74207,0.76699,0.82699,0.54281,1.24468,0.68032,1.23055,0.0008317,0.0008317,0.0008317
19,4772.3,1.32963,0.95635,1.27671,0.92661,0.78703,0.8893,0.614,1.25667,0.67836,1.22487,0.0008218,0.0008218,0.0008218
20,4891.44,1.28186,0.93343,1.25086,0.73617,0.73472,0.86411,0.59996,1.23557,0.66643,1.2214,0.0008119,0.0008119,0.0008119
21,5129.83,1.28789,0.92148,1.25296,0.80192,0.7468,0.84746,0.55431,1.24745,0.68,1.22105,0.000802,0.000802,0.000802
22,5325.92,1.28315,0.91426,1.24843,0.83288,0.76098,0.86511,0.5796,1.25022,0.68632,1.22824,0.0007921,0.0007921,0.0007921
23,5488.53,1.25942,0.87829,1.23175,0.92944,0.77963,0.88957,0.61526,1.17353,0.65568,1.18762,0.0007822,0.0007822,0.0007822
24,5719.09,1.27078,0.88311,1.23811,0.85717,0.79228,0.78358,0.54524,1.19563,0.62164,1.19522,0.0007723,0.0007723,0.0007723
25,5962.15,1.25517,0.88491,1.24118,0.86557,0.72993,0.89055,0.63503,1.15518,0.61895,1.18328,0.0007624,0.0007624,0.0007624
26,6156.85,1.24313,0.85107,1.23023,0.87624,0.78387,0.89647,0.61689,1.20161,0.62981,1.20438,0.0007525,0.0007525,0.0007525
27,6304.2,1.23167,0.85122,1.22514,0.77184,0.91692,0.94226,0.65739,1.14026,0.6096,1.17431,0.0007426,0.0007426,0.0007426
28,6507.07,1.22464,0.84914,1.22499,0.85594,0.86959,0.95563,0.6378,1.17791,0.61636,1.19925,0.0007327,0.0007327,0.0007327
29,6727.62,1.20739,0.82383,1.21733,0.81249,0.84624,0.94561,0.66041,1.12392,0.59241,1.15201,0.0007228,0.0007228,0.0007228
30,6920.93,1.18771,0.81279,1.20187,0.81162,0.82367,0.93592,0.67134,1.13455,0.59193,1.15604,0.0007129,0.0007129,0.0007129
31,7050.71,1.215,0.83019,1.21416,0.81974,0.91812,0.96198,0.69152,1.07345,0.58014,1.12569,0.000703,0.000703,0.000703
32,7152.18,1.18293,0.79661,1.19051,0.86902,0.83909,0.93059,0.66926,1.12952,0.57991,1.14362,0.0006931,0.0006931,0.0006931
33,7262.94,1.17305,0.77515,1.19092,0.79508,0.89235,0.94854,0.65284,1.09575,0.56878,1.13766,0.0006832,0.0006832,0.0006832
34,7499.41,1.15723,0.79051,1.18746,0.91558,0.83858,0.94057,0.68794,1.11658,0.57018,1.14378,0.0006733,0.0006733,0.0006733
35,7719.37,1.14249,0.75786,1.17493,0.89625,0.79619,0.92034,0.70174,1.07421,0.54609,1.12246,0.0006634,0.0006634,0.0006634
36,7932.7,1.16375,0.75768,1.17632,0.83379,0.83621,0.93844,0.68909,1.07495,0.56623,1.12014,0.0006535,0.0006535,0.0006535
37,8147.3,1.15283,0.74775,1.1786,0.83933,0.87526,0.95554,0.70854,1.05931,0.5478,1.11002,0.0006436,0.0006436,0.0006436
38,8292.64,1.11728,0.74814,1.1601,0.71341,0.9312,0.88048,0.63909,1.04118,0.52597,1.10381,0.0006337,0.0006337,0.0006337
39,8462.76,1.12455,0.7365,1.16137,0.70823,0.86447,0.8889,0.63989,1.05214,0.53903,1.10738,0.0006238,0.0006238,0.0006238
40,8640.33,1.13822,0.74796,1.16475,0.86004,0.90387,0.88301,0.67057,1.03724,0.5343,1.09722,0.0006139,0.0006139,0.0006139
41,8838.73,1.09535,0.70553,1.14538,0.88432,0.85771,0.91359,0.67053,1.05167,0.52269,1.10796,0.000604,0.000604,0.000604
42,9020.47,1.1088,0.7212,1.153,0.88096,0.88569,0.95974,0.69822,1.02932,0.52582,1.0898,0.0005941,0.0005941,0.0005941
43,9165.23,1.10283,0.70921,1.14943,0.86994,0.80602,0.90018,0.69098,1.02878,0.50915,1.08936,0.0005842,0.0005842,0.0005842
44,9310.82,1.09409,0.70825,1.14868,0.88393,0.83711,0.95288,0.71179,1.00934,0.50689,1.08822,0.0005743,0.0005743,0.0005743
45,9457.97,1.08006,0.69751,1.14002,0.876,0.80883,0.94109,0.72886,1.02577,0.51229,1.08469,0.0005644,0.0005644,0.0005644
46,9616.81,1.09071,0.6973,1.14185,0.74975,0.83399,0.81918,0.61965,1.01689,0.49217,1.08344,0.0005545,0.0005545,0.0005545
47,9783.86,1.05864,0.67592,1.13552,0.86597,0.90175,0.96513,0.74642,1.00392,0.51214,1.07895,0.0005446,0.0005446,0.0005446
48,9945.87,1.0622,0.6682,1.13088,0.94676,0.8365,0.94829,0.7055,0.97528,0.49148,1.07049,0.0005347,0.0005347,0.0005347
49,10148.5,1.05258,0.65616,1.11995,0.88022,0.76817,0.91999,0.70519,0.96776,0.4915,1.05547,0.0005248,0.0005248,0.0005248
50,10334.5,1.05456,0.66205,1.11729,0.82772,0.91693,0.95084,0.72514,0.95702,0.49417,1.05714,0.0005149,0.0005149,0.0005149
51,10495.9,1.02467,0.64101,1.11528,0.87953,0.81466,0.9424,0.71242,0.98633,0.47234,1.06238,0.000505,0.000505,0.000505
52,10645.6,1.02616,0.64216,1.11996,0.88215,0.83275,0.96066,0.73034,0.94707,0.4803,1.05379,0.0004951,0.0004951,0.0004951
53,10748.4,1.02025,0.63992,1.10972,0.83967,0.88266,0.9581,0.70492,0.9474,0.46775,1.046,0.0004852,0.0004852,0.0004852
54,10850.9,1.04159,0.64611,1.11396,0.80861,0.9252,0.95736,0.73818,0.96078,0.4662,1.05906,0.0004753,0.0004753,0.0004753
55,10953.3,1.00562,0.63331,1.10561,0.92715,0.85435,0.9719,0.75051,0.9435,0.46979,1.04451,0.0004654,0.0004654,0.0004654
56,11057.9,1.00006,0.62434,1.09743,0.86015,0.85298,0.95479,0.74759,0.94521,0.45866,1.04623,0.0004555,0.0004555,0.0004555
57,11160.6,0.99689,0.61524,1.08958,0.80986,0.94228,0.95942,0.72308,0.93727,0.45693,1.04288,0.0004456,0.0004456,0.0004456
58,11284.2,0.989,0.63101,1.09106,0.83657,0.93417,0.96772,0.7468,0.94552,0.46557,1.04709,0.0004357,0.0004357,0.0004357
59,11447.1,0.99801,0.60848,1.09775,0.87797,0.83283,0.95057,0.7027,0.96392,0.46548,1.04913,0.0004258,0.0004258,0.0004258
60,11549.7,0.97626,0.61102,1.08982,0.79307,0.92504,0.96659,0.7268,0.93156,0.45578,1.03277,0.0004159,0.0004159,0.0004159
61,11652.2,0.97968,0.60718,1.08584,0.88274,0.91809,0.97001,0.74694,0.94742,0.44932,1.04079,0.000406,0.000406,0.000406
62,11755,0.98373,0.60424,1.09033,0.81708,0.81437,0.93251,0.70354,0.92629,0.44031,1.0346,0.0003961,0.0003961,0.0003961
63,11859.2,0.97619,0.59712,1.078,0.8649,0.94412,0.97593,0.7449,0.93364,0.43719,1.03617,0.0003862,0.0003862,0.0003862
64,11960.7,0.97713,0.59505,1.08424,0.77683,0.80893,0.92077,0.70476,0.93023,0.4457,1.03902,0.0003763,0.0003763,0.0003763
65,12171.1,0.95696,0.59454,1.07991,0.90835,0.87563,0.97432,0.75489,0.90734,0.42818,1.02621,0.0003664,0.0003664,0.0003664
66,12383.2,0.93688,0.58046,1.06741,0.9086,0.83512,0.97259,0.76924,0.90395,0.42024,1.02189,0.0003565,0.0003565,0.0003565
67,12596.2,0.93939,0.59026,1.06247,0.90969,0.78833,0.95714,0.71433,0.89567,0.42892,1.01766,0.0003466,0.0003466,0.0003466
68,12785,0.92069,0.56561,1.05267,0.89421,0.91814,0.97457,0.74233,0.90077,0.42094,1.01838,0.0003367,0.0003367,0.0003367
69,12949.6,0.93924,0.56589,1.057,0.86554,0.85974,0.97636,0.75394,0.89015,0.4194,1.01291,0.0003268,0.0003268,0.0003268
70,13098.1,0.92036,0.55348,1.05821,0.91054,0.86315,0.97602,0.74284,0.89634,0.41646,1.01558,0.0003169,0.0003169,0.0003169
71,13214,0.9064,0.54707,1.05522,0.91304,0.8579,0.96308,0.74264,0.89208,0.40669,1.01333,0.000307,0.000307,0.000307
72,13315.6,0.9047,0.55095,1.05317,0.91677,0.91948,0.97587,0.7405,0.89181,0.41001,1.01845,0.0002971,0.0002971,0.0002971
73,13499.1,0.90875,0.55459,1.05651,0.90796,0.8706,0.97807,0.73644,0.88233,0.40837,1.01108,0.0002872,0.0002872,0.0002872
74,13720.3,0.90666,0.54675,1.0518,0.90055,0.91368,0.97811,0.73759,0.89264,0.40545,1.01457,0.0002773,0.0002773,0.0002773
75,13926.7,0.88583,0.52861,1.03981,0.79782,0.91792,0.97343,0.76274,0.86278,0.4063,0.9992,0.0002674,0.0002674,0.0002674
76,14155.6,0.8727,0.5322,1.03872,0.84385,0.94517,0.97637,0.75358,0.87333,0.40075,1.00285,0.0002575,0.0002575,0.0002575
77,14346.2,0.87609,0.53209,1.0396,0.8763,0.94242,0.97778,0.75537,0.86621,0.40005,1.0022,0.0002476,0.0002476,0.0002476
78,14523.4,0.87635,0.52367,1.03573,0.87394,0.92749,0.97646,0.74409,0.87904,0.4046,1.00887,0.0002377,0.0002377,0.0002377
79,14722.2,0.86457,0.53032,1.03015,0.8848,0.94507,0.97872,0.76553,0.85862,0.39372,1.0004,0.0002278,0.0002278,0.0002278
80,14952.8,0.86641,0.52219,1.03745,0.88462,0.92285,0.97741,0.77248,0.85151,0.39443,0.99815,0.0002179,0.0002179,0.0002179
81,15101.9,0.85945,0.51008,1.02992,0.91221,0.92732,0.97775,0.76603,0.85129,0.39413,0.99519,0.000208,0.000208,0.000208
82,15306.7,0.84521,0.49955,1.02666,0.9176,0.89832,0.97748,0.75324,0.84574,0.38733,0.99198,0.0001981,0.0001981,0.0001981
83,15507.6,0.84658,0.51573,1.02285,0.86345,0.88159,0.96147,0.75973,0.8402,0.38584,0.98703,0.0001882,0.0001882,0.0001882
84,15662.5,0.83555,0.49605,1.02309,0.92739,0.91969,0.9785,0.7736,0.83641,0.38089,0.98255,0.0001783,0.0001783,0.0001783
85,15766.4,0.83614,0.49874,1.01966,0.93152,0.87321,0.96594,0.75912,0.82971,0.38472,0.98343,0.0001684,0.0001684,0.0001684
86,15867.5,0.82366,0.48656,1.01497,0.93047,0.88873,0.96639,0.76379,0.83462,0.3837,0.98385,0.0001585,0.0001585,0.0001585
87,15970.3,0.82275,0.4975,1.01162,0.92284,0.87314,0.96231,0.74283,0.82424,0.37766,0.98031,0.0001486,0.0001486,0.0001486
88,16073.8,0.81349,0.4797,1.00513,0.9273,0.84994,0.96716,0.78033,0.82562,0.37957,0.98218,0.0001387,0.0001387,0.0001387
89,16175.8,0.80352,0.46572,1.00636,0.87484,0.96086,0.98122,0.76911,0.82445,0.37148,0.98067,0.0001288,0.0001288,0.0001288
90,16370.9,0.80935,0.4807,1.0075,0.89598,0.93487,0.9817,0.7731,0.82731,0.37294,0.97971,0.0001189,0.0001189,0.0001189
91,16558.4,0.79693,0.39917,0.9942,0.83973,0.96555,0.97966,0.77495,0.82627,0.37539,0.98044,0.000109,0.000109,0.000109
92,16745.8,0.7729,0.39011,0.98163,0.86941,0.95103,0.98164,0.77105,0.81864,0.36919,0.97887,9.91e-05,9.91e-05,9.91e-05
93,16951.3,0.76246,0.38397,0.97841,0.86083,0.95559,0.98131,0.77087,0.81698,0.36809,0.97778,8.92e-05,8.92e-05,8.92e-05
94,17140.6,0.75878,0.37528,0.97473,0.87014,0.9447,0.98047,0.77578,0.81092,0.37427,0.97333,7.93e-05,7.93e-05,7.93e-05
95,17321.5,0.75499,0.3692,0.97522,0.86247,0.93422,0.98096,0.77615,0.80729,0.36902,0.97311,6.94e-05,6.94e-05,6.94e-05
96,17533,0.7428,0.37416,0.96841,0.86644,0.92722,0.98009,0.76818,0.81074,0.36746,0.97252,5.95e-05,5.95e-05,5.95e-05
97,17729.8,0.73802,0.37202,0.96957,0.85591,0.95393,0.98124,0.78347,0.80068,0.36431,0.96832,4.96e-05,4.96e-05,4.96e-05
98,17932.7,0.72268,0.36427,0.963,0.86587,0.94126,0.98122,0.78459,0.79655,0.36302,0.96665,3.97e-05,3.97e-05,3.97e-05
99,18128.2,0.71826,0.36139,0.95786,0.86551,0.95069,0.98174,0.7817,0.79598,0.36008,0.9671,2.98e-05,2.98e-05,2.98e-05
100,18318,0.7101,0.35738,0.95309,0.86212,0.96063,0.98163,0.78126,0.79344,0.35751,0.96658,1.99e-05,1.99e-05,1.99e-05
